word,freq,p
的,54487,0.05850243138282281
在,12024,0.012910111309983326
了,11557,0.012408695642837433
和,10907,0.011710793750664349
是,9847,0.010572676818812857
一,7301,0.007839048791931825
为,4741,0.005090389031988602
有,4639,0.0049808721196783635
不,4532,0.004865986731274487
对,3800,0.004080041831165722
上,3798,0.004077894440728266
中,3676,0.003946903624043472
这,3198,0.003433677309491573
发展,3175,0.0034089823194608333
要,2936,0.003152369162184884
多,2918,0.003133042648247783
与,2876,0.0030879474490612146
到,2837,0.0030460733355308295
他,2825,0.0030331889929060955
也,2800,0.0030063466124379003
等,2775,0.0029795042319697047
人,2709,0.0029086403475336686
个,2633,0.002827039510910354
经济,2616,0.002808786692191981
就,2590,0.0027808706165050575
说,2557,0.0027454386742870396
年,2516,0.0027014171703191986
地,2417,0.0025951213436651447
将,2410,0.00258760547713405
工作,2394,0.0025704263536344045
中国,2374,0.0025489524492598482
以,2351,0.002524257459229108
企业,2317,0.0024877518217923623
新,2250,0.0024158142421375982
大,2225,0.0023889718616694026
记者,2140,0.002297707768077538
从,2034,0.002183896074892389
我们,2027,0.0021763802083612943
两,1954,0.0020980004573941634
都,1908,0.0020486104773326836
一个,1889,0.0020282102681768548
我,1802,0.0019347987841475344
１月,1781,0.0019122511845542501
建设,1726,0.00185319794752422
问题,1711,0.0018370925192433025
着,1686,0.001810250138775107
国家,1683,0.0018070290531189235
来,1620,0.0017393862543390707
已,1609,0.0017275756069330649
市场,1594,0.0017114701786521474
并,1573,0.0016889225790588632
还,1567,0.0016824804077464962
把,1563,0.001678185626871585
元,1544,0.0016577854177157565
而,1516,0.0016277219515913775
本报,1467,0.001575110885873714
能,1442,0.0015482685054055186
后,1436,0.0015418263340931516
他们,1354,0.0014537833261574703
向,1341,0.0014398252883140086
进行,1319,0.0014162039935019966
又,1319,0.0014162039935019966
使,1317,0.001414056603064541
好,1305,0.001401172260439807
下,1300,0.001395803784346168
李,1288,0.001382919441721434
改革,1277,0.001371108794315428
出,1235,0.0013260135951288596
电,1232,0.001322792509472676
张,1226,0.0013163503381603092
于,1223,0.0013131292525041256
全国,1220,0.0013099081668479422
但,1208,0.0012970238242232084
人民,1206,0.0012948764337857527
我国,1193,0.0012809183959422911
社会,1175,0.0012615918820051903
新华社,1170,0.0012562234059115512
时,1170,0.0012562234059115512
由,1169,0.0012551497106928233
之,1146,0.0012304547206620834
领导,1112,0.0011939490832253376
三,1095,0.0011756962645069645
世界,1092,0.001172475178850781
次,1081,0.001160664531444775
管理,1071,0.0011499275792574968
更,1069,0.0011477801888200411
最,1064,0.001142411712726402
高,1044,0.0011209378083518455
活动,1044,0.0011209378083518455
关系,1042,0.00111879041791439
美国,1019,0.0010940954278836502
王,1014,0.0010887269517900109
据,1008,0.001082284780477644
北京,990,0.0010629582665405432
群众,982,0.0010543687047907208
名,974,0.001045779143040898
重要,969,0.001040410666947259
被,957,0.0010275263243225252
副,954,0.0010243052386663418
起,946,0.001015715676916519
提高,943,0.0010124945912603357
自己,932,0.0010006839438543296
